t_us,qec_average_fidelity_phase_calibrated,E80p10_average_fidelity_phase_calibrated,E80p0_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,0,0
0.5,0.999999146662,0.999960814118,0.999961368124,0.999961368124,3.77785376027e-05,0
1,0.99999472781,0.999717918618,0.999721110556,0.999721110556,0.000273617253908,0
1.5,0.999988864972,0.999278901175,0.999285080347,0.999285080347,0.000703784624985,0
2,0.999983364528,0.998809692015,0.998818480372,0.998818480372,0.00116488415601,0
2.5,0.99997796564,0.998290635559,0.998301766041,0.998301766041,0.00167619959875,0
3,0.999972321154,0.997732049236,0.997745611624,0.997745611624,0.00222670953069,0
3.5,0.999966736307,0.997144000216,0.997159843175,0.997159843175,0.00280689313263,0
4,0.999961369067,0.996612174929,0.996630685849,0.996630685849,0.00333068321831,0
4.5,0.999955883274,0.996073672565,0.9960944521,0.9960944521,0.00386143117367,0
5,0.999950204584,0.9955109872,0.995534094442,0.995534094442,0.0044161101419,0
5.5,0.999944684619,0.994924640954,0.99494988194,0.99494988194,0.0049948026795,0
6,0.999939324707,0.994393608024,0.994421777233,0.994421777233,0.00551754747438,0
6.5,0.999933773963,0.993858962548,0.993889352855,0.993889352855,0.00604442110796,0
7,0.999928102584,0.993300563564,0.993333170712,0.993333170712,0.00659493187221,0
7.5,0.999922646024,0.992718747062,0.992753354905,0.992753354905,0.0071692911188,0
8,0.999917266071,0.992189421304,0.992227233224,0.992227233224,0.00769003284712,0
8.5,0.999911656511,0.99165890489,0.991698882362,0.991698882362,0.00821277414894,0
9,0.999906017388,0.991104863412,0.991146932406,0.991146932406,0.00875908498256,0
9.5,0.999900613192,0.990527555039,0.990571505552,0.990571505552,0.00932910763941,0
10,0.999964696291,0.989999930536,0.990047370529,0.990047370529,0.00991732576269,1
10.5,0.999959432649,0.989473528223,0.989523064219,0.989523064219,0.0104363684295,1
11,0.999952256227,0.988923821623,0.988975315086,0.988975315086,0.0109769411406,1
11.5,0.999946813261,0.988350970194,0.988404244476,0.988404244476,0.0115425687856,1
12,0.999941661672,0.987825040933,0.987882093097,0.987882093097,0.0120595685748,1
12.5,0.999935918885,0.987302739589,0.987361800876,0.987361800876,0.0125741180083,1
13,0.9999302035,0.986757337797,0.986818221072,0.986818221072,0.0131119824278,1
13.5,0.99992496188,0.986188890575,0.986251474185,0.986251474185,0.0136734876953,1
14,0.99991956941,0.985664658077,0.985731303395,0.985731303395,0.0141882660149,1
14.5,0.999913745112,0.985146445076,0.985214995033,0.985214995033,0.0146987500787,1
15,0.999908162484,0.984605310555,0.984675553301,0.984675553301,0.0152326091826,1
15.5,0.99990296038,0.98404121645,0.984113097859,0.984113097859,0.0157898625214,1
16,0.999897439679,0.983518689515,0.983594904556,0.983594904556,0.0163025351228,1
16.5,0.999891604684,0.983004549634,0.983082550049,0.983082550049,0.0168090546356,1
17,0.999886151267,0.982467638263,0.982547215363,0.982547215363,0.0173389359038,1
17.5,0.999880933543,0.981907850716,0.981989019326,0.981989019326,0.017891914217,1
18,0.99987528764,0.98138704397,0.981472800361,0.981472800361,0.0184024872787,1
18.5,0.999869494026,0.980876956779,0.980964369926,0.980964369926,0.0189051241007,1
19,0.999864157272,0.980344219849,0.980433111491,0.980433111491,0.0194310457809,1
19.5,0.999858874874,0.979788699005,0.979879143057,0.979879143057,0.0199797318169,1
20,0.999928603699,0.979269630484,0.979364895233,0.979364895233,0.0205637084669,2
