t_us,qec_average_fidelity_phase_calibrated,S3_average_fidelity_phase_calibrated,S6_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,0,0
0.5,0.999889090407,0.999927003342,0.999991398232,0.999991398232,-0.00010230782505,0
1,0.999291703195,0.999551979614,0.999949264355,0.999949264355,-0.000657561160022,0
1.5,0.998470232707,0.999032823707,0.999897467076,0.999897467076,-0.00142723436899,0
2,0.997729918365,0.998482116918,0.999849806152,0.999849806152,-0.00211988778712,0
2.5,0.996890654212,0.997956332192,0.99980108661,0.99980108661,-0.00291043239738,0
3,0.995882738495,0.997400561409,0.999749737567,0.999749737567,-0.00386699907169,0
3.5,0.994878123513,0.996841793838,0.99969982672,0.99969982672,-0.00482170320636,0
4,0.994118768445,0.996278451132,0.999651422462,0.999651422462,-0.00553265401712,0
4.5,0.993073701188,0.995688967124,0.999600805722,0.999600805722,-0.00652710453366,0
5,0.992016608676,0.995100115615,0.999548834443,0.999548834443,-0.00753222576696,0
5.5,0.990981165263,0.994567763242,0.999499018344,0.999499018344,-0.008517853081,0
6,0.990170715495,0.994024963896,0.999449726909,0.999449726909,-0.00927901141399,0
6.5,0.988986362802,0.993455035059,0.999397815709,0.999397815709,-0.0104114529072,0
7,0.987868891934,0.992875548457,0.99934560858,0.99934560858,-0.0114767166462,0
7.5,0.986864250678,0.99229929396,0.999295737488,0.999295737488,-0.0124314868099,0
8,0.985912286976,0.99174514086,0.999245298844,0.999245298844,-0.0133330118675,0
8.5,0.984651488108,0.991196543116,0.999192301988,0.999192301988,-0.0145408138802,0
9,0.983464389969,0.990645053632,0.999140087448,0.999140087448,-0.0156756974787,0
9.5,0.982510049543,0.990093385777,0.999089910734,0.999089910734,-0.0165798611914,0
10,0.993914330218,0.98951874301,0.999038154302,0.999038154302,-0.00512382408422,1
10.5,0.993301690177,0.988923748618,0.998984361326,0.998984361326,-0.00568267114846,1
11,0.992291559242,0.988391297345,0.998932247952,0.998932247952,-0.00664068871028,1
11.5,0.991624098336,0.987861785644,0.998881453456,0.998881453456,-0.00725735512036,1
12,0.990679082191,0.987305975491,0.998828341097,0.998828341097,-0.00814925890621,1
12.5,0.989702736446,0.986736436762,0.998774073643,0.998774073643,-0.00907133719673,1
13,0.988716325293,0.986170584514,0.998722030312,0.998722030312,-0.0100057050189,1
13.5,0.987969368154,0.985604667531,0.998677459499,0.998677459499,-0.0107080913454,1
14,0.986878804054,0.985068761582,0.998631222233,0.998631222233,-0.0117524181795,1
14.5,0.985823050353,0.984526188229,0.998584856923,0.998584856923,-0.0127618065699,1
15,0.984876549755,0.983985822302,0.998540808632,0.998540808632,-0.0136642588766,1
15.5,0.983986736798,0.983426043985,0.998496027589,0.998496027589,-0.0145092907914,1
16,0.982823863194,0.982843071739,0.99844874224,0.99844874224,-0.0156248790454,1
16.5,0.981685396957,0.982293337624,0.998402390904,0.998402390904,-0.0167169939462,1
17,0.98079386562,0.981776136814,0.998357988562,0.998357988562,-0.0175641229417,1
17.5,0.979713383266,0.981234617278,0.99831187283,0.99831187283,-0.018598489564,1
18,0.978506997466,0.980675469779,0.998263837207,0.998263837207,-0.0197568397406,1
18.5,0.977323514282,0.980119244329,0.998217587599,0.998217587599,-0.0208940733165,1
19,0.976435422357,0.979554721777,0.998172515172,0.998172515172,-0.0217370928158,1
19.5,0.97517886168,0.979018777629,0.998125048169,0.998125048169,-0.0229461864889,1
20,0.98762901163,0.978485279855,0.99807658295,0.99807658295,-0.0104475713208,2
