t_us,qec_average_fidelity_phase_calibrated,S2_average_fidelity_phase_calibrated,S5_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,0,0
0.5,0.999256600541,0.999497930615,0.999997373796,0.999997373796,-0.000740773255269,0
1,0.995392488847,0.996833914844,0.999984490969,0.999984490969,-0.00459200212204,0
1.5,0.989258768021,0.992859592392,0.999968561652,0.999968561652,-0.0107097936309,0
2,0.982225940843,0.988432142448,0.999953741185,0.999953741185,-0.017727800342,0
2.5,0.974774187584,0.98387329551,0.999938493789,0.999938493789,-0.0251643062055,0
3,0.967564372864,0.979387843072,0.999922411615,0.999922411615,-0.0323580387516,0
3.5,0.95991584625,0.97492133822,0.999906744097,0.999906744097,-0.0399908978471,0
4,0.952486250937,0.970606550788,0.999891493249,0.999891493249,-0.0474052423122,0
4.5,0.944713195041,0.966246041286,0.999875538733,0.999875538733,-0.055162343692,0
5,0.937306956317,0.961992864121,0.99985916315,0.99985916315,-0.0625522068326,0
5.5,0.929402458593,0.957788392402,0.99984342073,0.99984342073,-0.0704409621375,0
6,0.92173081916,0.953630724197,0.999827796718,0.999827796718,-0.0780969775584,0
6.5,0.913886071638,0.949512793052,0.999811352974,0.999811352974,-0.0859252813362,0
7,0.906178035054,0.94542503365,0.999794812359,0.999794812359,-0.0936167773052,0
7.5,0.898234243172,0.941460530867,0.999778952882,0.999778952882,-0.10154470971,0
8,0.890309576867,0.937458172689,0.99976287941,0.99976287941,-0.109453302543,0
8.5,0.882540661232,0.933562513859,0.999746012375,0.999746012375,-0.117205351143,0
9,0.874552957958,0.929684242826,0.999729375126,0.999729375126,-0.125176417168,0
9.5,0.866672132181,0.92589213496,0.999713320654,0.999713320654,-0.133041188473,0
10,0.987444579738,0.922106965827,0.999696747398,0.999696747398,-0.01225216766,1
10.5,0.983115651446,0.9183584189,0.999679546508,0.999679546508,-0.0165638950622,1
11,0.975832481697,0.914704980128,0.999662843471,0.999662843471,-0.023830361774,1
11.5,0.968670849374,0.911046281333,0.999646497963,0.999646497963,-0.0309756485886,1
12,0.961146170759,0.907468393355,0.999629415587,0.999629415587,-0.0384832448275,1
12.5,0.954038915159,0.903886107999,0.999611979132,0.999611979132,-0.0455730639731,1
13,0.946414566919,0.900419953477,0.999595198099,0.999595198099,-0.0531806311798,1
13.5,0.939078212216,0.896944165482,0.999578466167,0.999578466167,-0.0605002539512,1
14,0.931530403115,0.893509506822,0.999560908225,0.999560908225,-0.06803050511,1
14.5,0.924046067782,0.890135227261,0.999543324354,0.999543324354,-0.0754972565722,1
15,0.916355785342,0.886794705046,0.999526412462,0.999526412462,-0.0831706271203,1
15.5,0.908669097114,0.883505237433,0.999509217884,0.999509217884,-0.0908401207695,1
16,0.901121377105,0.880198560336,0.999491254321,0.999491254321,-0.0983698772161,1
16.5,0.893265959443,0.877019493128,0.99947358398,0.99947358398,-0.106207624536,1
17,0.885594171725,0.873826893786,0.999456457985,0.999456457985,-0.11386228626,1
17.5,0.877691008568,0.870684774215,0.999438758486,0.999438758486,-0.121747749919,1
18,0.870135775669,0.867564862439,0.999420482095,0.999420482095,-0.129284706425,1
18.5,0.862099802886,0.864507205116,0.999402747235,0.999402747235,-0.137302944349,1
19,0.854398561332,0.861485115192,0.999385309683,0.999385309683,-0.14498674835,1
19.5,0.846495435872,0.8584543029,0.999369032718,0.999369032718,-0.152873596846,1
20,0.974308821104,0.855514232769,0.999355968805,0.999355968805,-0.0250471477009,2
