t_us,qec_average_fidelity_phase_calibrated,S3_average_fidelity_phase_calibrated,S4_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,0,0
0.5,0.99988392767,0.999927003342,0.9999963607,0.9999963607,-0.000112433030317,0
1,0.999483368383,0.999551979614,0.999976536731,0.999976536731,-0.000493168347513,0
1.5,0.998954429041,0.999032823707,0.999946548296,0.999946548296,-0.000992119254278,0
2,0.998015343711,0.998482116918,0.999912707288,0.999912707288,-0.00189736357788,0
2.5,0.997078526608,0.997956332192,0.999875754276,0.999875754276,-0.00279722766793,0
3,0.996530039338,0.997400561409,0.999836385115,0.999836385115,-0.00330634577669,0
3.5,0.99571968951,0.996841793838,0.999796056879,0.999796056879,-0.0040763673688,0
4,0.994624681589,0.996278451132,0.999754918676,0.999754918676,-0.00513023708658,0
4.5,0.993678371943,0.995688967124,0.99971212225,0.99971212225,-0.00603375030627,0
5,0.993152440322,0.995100115615,0.999667947489,0.999667947489,-0.00651550716718,0
5.5,0.99210449298,0.994567763242,0.999626955625,0.999626955625,-0.00752246264443,0
6,0.99094902564,0.994024963896,0.999602403126,0.999602403126,-0.00865337748617,0
6.5,0.990092163386,0.993455035059,0.999576138223,0.999576138223,-0.00948397483733,0
7,0.989467267203,0.992875548457,0.9995487859,0.9995487859,-0.0100815186969,0
7.5,0.988230727854,0.99229929396,0.999520953023,0.999520953023,-0.0112902251687,0
8,0.98704340299,0.99174514086,0.999491880531,0.999491880531,-0.0124484775404,0
8.5,0.986314274711,0.991196543116,0.999461131662,0.999461131662,-0.0131468569513,0
9,0.985471247511,0.990645053632,0.999429563234,0.999429563234,-0.0139583157226,0
9.5,0.984113249558,0.990093385777,0.999397421688,0.999397421688,-0.0152841721307,0
10,0.994781878082,0.98951874301,0.999363796015,0.999363796015,-0.00458191793323,1
10.5,0.994423958399,0.988923748618,0.999328643539,0.999328643539,-0.00490468513974,1
11,0.993620333079,0.988391297345,0.999292885142,0.999292885142,-0.00567255206308,1
11.5,0.992690170863,0.987861785644,0.999256358988,0.999256358988,-0.00656618812482,1
12,0.99184636939,0.987305975491,0.999218181054,0.999218181054,-0.00737181166385,1
12.5,0.991340617287,0.986736436762,0.999178710826,0.999178710826,-0.00783809353915,1
13,0.990344533628,0.986170584514,0.999138752668,0.999138752668,-0.00879421904041,1
13.5,0.989309096694,0.985604667531,0.999097768606,0.999097768606,-0.00978867191187,1
14,0.988527263097,0.985068761582,0.999055075031,0.999055075031,-0.0105278119345,1
14.5,0.98790723297,0.984526188229,0.999011362784,0.999011362784,-0.0111041298139,1
15,0.986753686272,0.983985822302,0.998967162115,0.998967162115,-0.0122134758436,1
15.5,0.985678024983,0.983426043985,0.998941441096,0.998941441096,-0.0132634161125,1
16,0.985005802788,0.982843071739,0.998915351632,0.998915351632,-0.013909548844,1
16.5,0.984166832016,0.982293337624,0.998888508185,0.998888508185,-0.0147216761691,1
17,0.982916740596,0.981776136814,0.998861047647,0.998861047647,-0.0159443070519,1
17.5,0.981848118535,0.981234617278,0.998832048762,0.998832048762,-0.0169839302265,1
18,0.98124171992,0.980675469779,0.998801580619,0.998801580619,-0.0175598606996,1
18.5,0.98014180609,0.980119244329,0.998770549423,0.998770549423,-0.018628743333,1
19,0.97884013073,0.979554721777,0.998738684815,0.998738684815,-0.0198985540857,1
19.5,0.97784701857,0.979018777629,0.998705141608,0.998705141608,-0.0208581230374,1
20,0.989251345979,0.978485279855,0.99867037908,0.99867037908,-0.00941903310057,2
