t_us,qec_average_fidelity_phase_calibrated,S4_average_fidelity_phase_calibrated,S1_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,-4.4408920985e-16,0
0.5,0.999985108608,0.9999963607,0.999993684774,0.9999963607,-1.12520926656e-05,0
1,0.999922264606,0.999976536731,0.999962740921,0.999976536731,-5.42721250204e-05,0
1.5,0.999843004996,0.999946548296,0.999924534342,0.999946548296,-0.000103543299791,0
2,0.999737511161,0.999912707288,0.999889005273,0.999912707288,-0.000175196127178,0
2.5,0.999629702069,0.999875754276,0.999852441912,0.999875754276,-0.000246052206518,0
3,0.999547154258,0.999836385115,0.999813884191,0.999836385115,-0.000289230857081,0
3.5,0.999452058836,0.999796056879,0.999776338579,0.999796056879,-0.000343998043226,0
4,0.999331226581,0.999754918676,0.999739795274,0.999754918676,-0.000423692094344,0
4.5,0.999221360588,0.99971212225,0.999701562726,0.99971212225,-0.000490761661655,0
5,0.999139290491,0.999667947489,0.99966233409,0.999667947489,-0.000528656998793,0
5.5,0.999027551534,0.999626955625,0.999624638136,0.999626955625,-0.00059940409092,0
6,0.998899160266,0.999602403126,0.999587224671,0.999602403126,-0.000703242859926,0
6.5,0.998793913241,0.999576138223,0.999547847366,0.999576138223,-0.000782224981862,0
7,0.998706121496,0.9995487859,0.999508255081,0.9995487859,-0.000842664403793,0
7.5,0.99857822351,0.999520953023,0.99947030626,0.999520953023,-0.000942729513486,0
8,0.998445873568,0.999491880531,0.999431840107,0.999491880531,-0.00104600696268,0
8.5,0.998347396325,0.999461131662,0.999391478224,0.999461131662,-0.0011137353371,0
9,0.998246596496,0.999429563234,0.99935168614,0.999429563234,-0.00118296673807,0
9.5,0.99810512939,0.999397421688,0.999313296069,0.999397421688,-0.00129229229857,0
10,0.999171898453,0.999363796015,0.999273657778,0.999363796015,-0.000191897562142,1
10.5,0.999104444896,0.999328643539,0.999232527591,0.999328643539,-0.000224198643638,1
11,0.998998429833,0.999292885142,0.999192608701,0.999292885142,-0.000294455308951,1
11.5,0.998890686675,0.999256358988,0.999153546053,0.999256358988,-0.000365672313033,1
12,0.998792496223,0.999218181054,0.999112715222,0.999218181054,-0.000425684830475,1
12.5,0.998712047584,0.999178710826,0.999071053562,0.999178710826,-0.000466663241717,1
13,0.998602469568,0.999138752668,0.99903275832,0.999138752668,-0.000536283100318,1
13.5,0.998484312702,0.999097768606,0.999001045578,0.999097768606,-0.0006134559043,1
14,0.998387200846,0.999055075031,0.998967353679,0.999055075031,-0.000667874184941,1
14.5,0.998299448194,0.999011362784,0.998933651116,0.999011362784,-0.000711914590085,1
15,0.998176172703,0.998967162115,0.998901561108,0.998967162115,-0.000790989412616,1
15.5,0.998054638627,0.998941441096,0.998868755164,0.998941441096,-0.000886802469002,1
16,0.997962225596,0.998915351632,0.998834127271,0.998915351632,-0.000953126035971,1
16.5,0.997860811705,0.998888508185,0.998800250166,0.998888508185,-0.00102769648034,1
17,0.997726504973,0.998861047647,0.998767659993,0.998861047647,-0.0011345426749,1
17.5,0.997605374579,0.998832048762,0.998733664943,0.998832048762,-0.00122667418257,1
18,0.997515358767,0.998801580619,0.998698326533,0.998801580619,-0.00128622185253,1
18.5,0.997396285758,0.998770549423,0.998664321939,0.998770549423,-0.00137426366471,1
19,0.997254409738,0.998738684815,0.998630996631,0.998738684815,-0.00148427507778,1
19.5,0.997137701181,0.998705141608,0.99859581869,0.998705141608,-0.00156744042627,1
20,0.998296377187,0.99867037908,0.99856000424,0.99867037908,-0.000374001892535,2
