t_us,qec_average_fidelity_phase_calibrated,S4_average_fidelity_phase_calibrated,S6_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,1.11022302463e-16,0
0.5,0.99998355475,0.9999963607,0.999991398232,0.9999963607,-1.2805950187e-05,0
1,0.999890253969,0.999976536731,0.999949264355,0.999976536731,-8.62827613678e-05,0
1.5,0.999768157051,0.999946548296,0.999897467076,0.999946548296,-0.000178391245045,0
2,0.999673467431,0.999912707288,0.999849806152,0.999912707288,-0.000239239857738,0
2.5,0.999570300817,0.999875754276,0.99980108661,0.999875754276,-0.000305453458568,0
3,0.999431919126,0.999836385115,0.999749737567,0.999836385115,-0.000404465988735,0
3.5,0.999305779312,0.999796056879,0.99969982672,0.999796056879,-0.000490277567014,0
4,0.999212473927,0.999754918676,0.999651422462,0.999754918676,-0.000542444749199,0
4.5,0.999089851988,0.99971212225,0.999600805722,0.99971212225,-0.000622270261853,0
5,0.998942968549,0.999667947489,0.999548834443,0.999667947489,-0.000724978940389,0
5.5,0.998822491393,0.999626955625,0.999499018344,0.999626955625,-0.000804464231309,0
6,0.998725907991,0.999602403126,0.999449726909,0.999602403126,-0.000876495135096,0
6.5,0.998584850817,0.999576138223,0.999397815709,0.999576138223,-0.00099128740663,0
7,0.998434683135,0.9995487859,0.99934560858,0.9995487859,-0.00111410276485,0
7.5,0.998322549444,0.999520953023,0.999295737488,0.999520953023,-0.00119840357914,0
8,0.998214606743,0.999491880531,0.999245298844,0.999491880531,-0.00127727378786,0
8.5,0.99805763587,0.999461131662,0.999192301988,0.999461131662,-0.00140349579267,0
9,0.997909066158,0.999429563234,0.999140087448,0.999429563234,-0.00152049707631,0
9.5,0.99780420295,0.999397421688,0.999089910734,0.999397421688,-0.00159321873848,0
10,0.998928245256,0.999363796015,0.999038154302,0.999363796015,-0.000435550759752,1
10.5,0.998817938297,0.999328643539,0.998984361326,0.999328643539,-0.00051070524225,1
11,0.998675849725,0.999292885142,0.998932247952,0.999292885142,-0.000617035416361,1
11.5,0.998588718914,0.999256358988,0.998881453456,0.999256358988,-0.00066764007408,1
12,0.998475835599,0.999218181054,0.998828341097,0.999218181054,-0.000742345454822,1
12.5,0.998334311439,0.999178710826,0.998774073643,0.999178710826,-0.00084439938687,1
13,0.998216004371,0.999138752668,0.998722030312,0.999138752668,-0.000922748296807,1
13.5,0.998124030531,0.999097768606,0.998677459499,0.999097768606,-0.000973738075442,1
14,0.997990355043,0.999055075031,0.998631222233,0.999055075031,-0.00106471998814,1
14.5,0.997844379184,0.999011362784,0.998584856923,0.999011362784,-0.00116698359973,1
15,0.997735076326,0.998967162115,0.998540808632,0.998967162115,-0.00123208578919,1
15.5,0.997632291588,0.998941441096,0.998496027589,0.998941441096,-0.00130914950826,1
16,0.997482532902,0.998915351632,0.99844874224,0.998915351632,-0.00143281872976,1
16.5,0.997337242674,0.998888508185,0.998402390904,0.998888508185,-0.00155126551116,1
17,0.997235745969,0.998861047647,0.998357988562,0.998861047647,-0.00162530167843,1
17.5,0.997115247671,0.998832048762,0.99831187283,0.998832048762,-0.00171680109107,1
18,0.996953541971,0.998801580619,0.998263837207,0.998801580619,-0.00184803864852,1
18.5,0.996814408992,0.998770549423,0.998217587599,0.998770549423,-0.00195614043056,1
19,0.996715179612,0.998738684815,0.998172515172,0.998738684815,-0.00202350520306,1
19.5,0.996573384306,0.998705141608,0.998125048169,0.998705141608,-0.00213175730155,1
20,0.997796925449,0.99867037908,0.99807658295,0.99867037908,-0.000873453630616,2
