t_us,qec_average_fidelity_phase_calibrated,X2_average_fidelity_phase_calibrated,S4_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,0,0
0.5,0.999980407666,0.999989053539,0.9999963607,0.9999963607,-1.59530346369e-05,0
1,0.999912832855,0.999925936279,0.999976536731,0.999976536731,-6.37038760712e-05,0
1.5,0.999808573759,0.999821741151,0.999946548296,0.999946548296,-0.000137974536386,0
2,0.999596425942,0.999696506398,0.999912707288,0.999912707288,-0.000316281346293,0
2.5,0.999380534484,0.999557611506,0.999875754276,0.999875754276,-0.000495219791801,0
3,0.999251051983,0.999423481485,0.999836385115,0.999836385115,-0.00058533313174,0
3.5,0.999070216341,0.999314852466,0.999796056879,0.999796056879,-0.000725840537955,0
4,0.998796937301,0.999201409875,0.999754918676,0.999754918676,-0.00095798137474,0
4.5,0.998577462172,0.999081851914,0.99971212225,0.99971212225,-0.00113466007755,0
5,0.998439076668,0.998956833099,0.999667947489,0.999667947489,-0.00122887082096,0
5.5,0.998197180731,0.998827864229,0.999626955625,0.999626955625,-0.00142977489405,0
6,0.997896370963,0.998694096682,0.999602403126,0.999602403126,-0.00170603216307,0
6.5,0.997691011753,0.998554273362,0.999576138223,0.999576138223,-0.00188512646983,0
7,0.997524689676,0.998409553766,0.9995487859,0.9995487859,-0.00202409622421,0
7.5,0.997222598033,0.998275717843,0.999520953023,0.999520953023,-0.00229835498968,0
8,0.99691087489,0.998166828358,0.999491880531,0.999491880531,-0.0025810056405,0
8.5,0.996721274534,0.998051965828,0.999461131662,0.999461131662,-0.00273985712833,0
9,0.996505101758,0.997932680196,0.999429563234,0.999429563234,-0.00292446147564,0
9.5,0.996151665745,0.997809301727,0.999397421688,0.999397421688,-0.00324575594349,0
10,0.999445137195,0.997680218847,0.999363796015,0.999363796015,8.13411797166e-05,1
10.5,0.999387042664,0.997545475982,0.999328643539,0.999328643539,5.83991246832e-05,1
11,0.999235264069,0.997406684999,0.999292885142,0.999292885142,-5.76210723611e-05,1
11.5,0.999004070308,0.997263451239,0.999256358988,0.999256358988,-0.00025228868021,1
12,0.998815606524,0.997129712195,0.999218181054,0.999218181054,-0.000402574529421,1
12.5,0.998691760509,0.997020160167,0.999178710826,0.999178710826,-0.000486950316553,1
13,0.998469176605,0.996906726744,0.999138752668,0.999138752668,-0.000669576062751,1
13.5,0.998200852435,0.996788351206,0.999097768606,0.999097768606,-0.000896916171107,1
14,0.998020266303,0.996663945071,0.999055075031,0.999055075031,-0.00103480872839,1
14.5,0.997865872135,0.996534824342,0.999011362784,0.999011362784,-0.00114549064935,1
15,0.99758737842,0.996401792492,0.998967162115,0.998967162115,-0.00137978369491,1
15.5,0.997308259173,0.996263365584,0.998941441096,0.998941441096,-0.00163318192232,1
16,0.997139363766,0.996119086812,0.998915351632,0.998915351632,-0.00177598786556,1
16.5,0.996934857985,0.995986705449,0.998888508185,0.998888508185,-0.00195365020016,1
17,0.996609502532,0.995878719142,0.998861047647,0.998861047647,-0.00225154511562,1
17.5,0.996335207182,0.995764933935,0.998832048762,0.998832048762,-0.00249684157973,1
18,0.996167283494,0.995645641474,0.998801580619,0.998801580619,-0.00263429712497,1
18.5,0.995898764972,0.995522396596,0.998770549423,0.998770549423,-0.00287178445062,1
19,0.995541118589,0.995394569852,0.998738684815,0.998738684815,-0.00319756622632,1
19.5,0.9952841524,0.995260760874,0.998705141608,0.998705141608,-0.00342098920768,1
20,0.998854543176,0.995121925309,0.99867037908,0.99867037908,0.000184164096216,2
