t_us,qec_average_fidelity_phase_calibrated,S3_average_fidelity_phase_calibrated,X2_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,-3.33066907388e-16,0
0.5,0.9998809678,0.999927003342,0.999989053539,0.999989053539,-0.000108085739221,0
1,0.999573000009,0.999551979614,0.999925936279,0.999925936279,-0.000352936270435,0
1.5,0.99922452967,0.999032823707,0.999821741151,0.999821741151,-0.000597211480849,0
2,0.998280340072,0.998482116918,0.999696506398,0.999696506398,-0.00141616632528,0
2.5,0.997398666828,0.997956332192,0.999557611506,0.999557611506,-0.00215894467801,0
3,0.997159700068,0.997400561409,0.999423481485,0.999423481485,-0.00226378141699,0
3.5,0.996574030103,0.996841793838,0.999314852466,0.999314852466,-0.00274082236338,0
4,0.995428025467,0.996278451132,0.999201409875,0.999201409875,-0.00377338440794,0
4.5,0.994674854312,0.995688967124,0.999081851914,0.999081851914,-0.00440699760199,0
5,0.994505965344,0.995100115615,0.998956833099,0.998956833099,-0.0044508677551,0
5.5,0.993621939686,0.994567763242,0.998827864229,0.998827864229,-0.00520592454247,0
6,0.992426862033,0.994024963896,0.998694096682,0.998694096682,-0.00626723464867,0
6.5,0.991893604684,0.993455035059,0.998554273362,0.998554273362,-0.00666066867761,0
7,0.991638056703,0.992875548457,0.998409553766,0.998409553766,-0.00677149706364,0
7.5,0.990476632025,0.99229929396,0.998275717843,0.998275717843,-0.00779908581793,0
8,0.989334913851,0.99174514086,0.998166828358,0.998166828358,-0.00883191450648,0
8.5,0.989031848754,0.991196543116,0.998051965828,0.998051965828,-0.00902011707423,0
9,0.988533603727,0.990645053632,0.997932680196,0.997932680196,-0.00939907646821,0
9.5,0.987170169507,0.990093385777,0.997809301727,0.997809301727,-0.0106391322198,0
10,0.99548163531,0.98951874301,0.997680218847,0.997680218847,-0.00219858353615,1
10.5,0.995197396106,0.988923748618,0.997545475982,0.997545475982,-0.00234807987604,1
11,0.994566172547,0.988391297345,0.997406684999,0.997406684999,-0.00284051245254,1
11.5,0.993594593788,0.987861785644,0.997263451239,0.997263451239,-0.00366885745193,1
12,0.992921573961,0.987305975491,0.997129712195,0.997129712195,-0.00420813823395,1
12.5,0.992713384259,0.986736436762,0.997020160167,0.997020160167,-0.00430677590785,1
13,0.991859603977,0.986170584514,0.996906726744,0.996906726744,-0.00504712276742,1
13.5,0.990791031212,0.985604667531,0.996788351206,0.996788351206,-0.00599731999425,1
14,0.990297420273,0.985068761582,0.996663945071,0.996663945071,-0.00636652479811,1
14.5,0.990006961025,0.984526188229,0.996534824342,0.996534824342,-0.00652786331622,1
15,0.988903363082,0.983985822302,0.996401792492,0.996401792492,-0.00749842940975,1
15.5,0.987879098829,0.983426043985,0.996263365584,0.996263365584,-0.00838426675513,1
16,0.987583163303,0.982843071739,0.996119086812,0.996119086812,-0.00853592350833,1
16.5,0.987070376545,0.982293337624,0.995986705449,0.995986705449,-0.00891632890443,1
17,0.985787467648,0.981776136814,0.995878719142,0.995878719142,-0.0100912514939,1
17.5,0.98490464509,0.981234617278,0.995764933935,0.995764933935,-0.0108602888452,1
18,0.984768447247,0.980675469779,0.995645641474,0.995645641474,-0.0108771942276,1
18.5,0.983901824833,0.980119244329,0.995522396596,0.995522396596,-0.0116205717627,1
19,0.98254357856,0.979554721777,0.995394569852,0.995394569852,-0.0128509912916,1
19.5,0.981884977158,0.979018777629,0.995260760874,0.995260760874,-0.013375783716,1
20,0.990725254364,0.978485279855,0.995121925309,0.995121925309,-0.00439667094421,2
