t_us,qec_average_fidelity_phase_calibrated,S6_average_fidelity_phase_calibrated,S5_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,-4.4408920985e-16,0
0.5,0.999983116478,0.999991398232,0.999997373796,0.999997373796,-1.42573180645e-05,0
1,0.999917551418,0.999949264355,0.999984490969,0.999984490969,-6.69395505327e-05,0
1.5,0.999843574009,0.999897467076,0.999968561652,0.999968561652,-0.000124987642876,0
2,0.999744143215,0.999849806152,0.999953741185,0.999953741185,-0.000209597970217,0
2.5,0.999647116598,0.99980108661,0.999938493789,0.999938493789,-0.000291377190966,0
3,0.999582611164,0.999749737567,0.999922411615,0.999922411615,-0.000339800450988,0
3.5,0.999502817385,0.99969982672,0.999906744097,0.999906744097,-0.000403926712531,0
4,0.999400266785,0.999651422462,0.999891493249,0.999891493249,-0.000491226464101,0
4.5,0.999303800425,0.999600805722,0.999875538733,0.999875538733,-0.000571738307846,0
5,0.99925010389,0.999548834443,0.99985916315,0.99985916315,-0.000609059259649,0
5.5,0.999154606503,0.999499018344,0.99984342073,0.99984342073,-0.000688814227406,0
6,0.999051135717,0.999449726909,0.999827796718,0.999827796718,-0.000776661001046,0
6.5,0.998964434351,0.999397815709,0.999811352974,0.999811352974,-0.000846918623276,0
7,0.998910650898,0.99934560858,0.999794812359,0.999794812359,-0.000884161461777,0
7.5,0.998803299873,0.999295737488,0.999778952882,0.999778952882,-0.000975653008529,0
8,0.99869889553,0.999245298844,0.99976287941,0.99976287941,-0.00106398388041,0
8.5,0.998628440653,0.999192301988,0.999746012375,0.999746012375,-0.00111757172194,0
9,0.99856271486,0.999140087448,0.999729375126,0.999729375126,-0.00116666026584,0
9.5,0.998449365288,0.999089910734,0.999713320654,0.999713320654,-0.00126395536561,0
10,0.998989189751,0.999038154302,0.999696747398,0.999696747398,-0.000707557646917,1
10.5,0.998931786432,0.998984361326,0.999679546508,0.999679546508,-0.00074776007666,1
11,0.998822562036,0.998932247952,0.999662843471,0.999662843471,-0.000840281434575,1
11.5,0.998725589198,0.998881453456,0.999646497963,0.999646497963,-0.000920908764655,1
12,0.99863739501,0.998828341097,0.999629415587,0.999629415587,-0.000992020576972,1
12.5,0.998581509947,0.998774073643,0.999611979132,0.999611979132,-0.00103046918512,1
13,0.998481116933,0.998722030312,0.999595198099,0.999595198099,-0.00111408116559,1
13.5,0.998382786105,0.998677459499,0.999578466167,0.999578466167,-0.00119568006251,1
14,0.998301780801,0.998631222233,0.999560908225,0.999560908225,-0.00125912742446,1
14.5,0.998242534202,0.998584856923,0.999543324354,0.999543324354,-0.00130079015241,1
15,0.998133708218,0.998540808632,0.999526412462,0.999526412462,-0.00139270424437,1
15.5,0.998035149374,0.998496027589,0.999509217884,0.999509217884,-0.00147406850936,1
16,0.997968882524,0.99844874224,0.999491254321,0.999491254321,-0.00152237179738,1
16.5,0.997895601071,0.998402390904,0.99947358398,0.99947358398,-0.00157798290883,1
17,0.997784027683,0.998357988562,0.999456457985,0.999456457985,-0.00167243030261,1
17.5,0.997687524999,0.99831187283,0.999438758486,0.999438758486,-0.00175123348667,1
18,0.997634568034,0.998263837207,0.999420482095,0.999420482095,-0.00178591406106,1
18.5,0.997542174985,0.998217587599,0.999402747235,0.999402747235,-0.00186057224997,1
19,0.997431443065,0.998172515172,0.999385309683,0.999385309683,-0.00195386661806,1
19.5,0.997342877154,0.998125048169,0.999369032718,0.999369032718,-0.00202615556392,1
20,0.997939465915,0.99807658295,0.999355968805,0.999355968805,-0.00141650289064,2
