t_us,qec_average_fidelity_phase_calibrated,S1_average_fidelity_phase_calibrated,S5_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,0,0
0.5,0.999986516628,0.999993684774,0.999997373796,0.999997373796,-1.08571680334e-05,0
1,0.999933116921,0.999962740921,0.999984490969,0.999984490969,-5.13740473926e-05,0
1.5,0.999872832711,0.999924534342,0.999968561652,0.999968561652,-9.57289406425e-05,0
2,0.999793429893,0.999889005273,0.999953741185,0.999953741185,-0.00016031129257,0
2.5,0.99971491462,0.999852441912,0.999938493789,0.999938493789,-0.000223579169767,0
3,0.999662177016,0.999813884191,0.999922411615,0.999922411615,-0.000260234599837,0
3.5,0.999598522668,0.999776338579,0.999906744097,0.999906744097,-0.000308221429031,0
4,0.999514656173,0.999739795274,0.999891493249,0.999891493249,-0.000376837076658,0
4.5,0.999438185466,0.999701562726,0.999875538733,0.999875538733,-0.000437353267301,0
5,0.999392784837,0.99966233409,0.99985916315,0.99985916315,-0.000466378312788,0
5.5,0.999317693436,0.999624638136,0.99984342073,0.99984342073,-0.000525727294361,0
6,0.999232171546,0.999587224671,0.999827796718,0.999827796718,-0.000595625171863,0
6.5,0.99916411876,0.999547847366,0.999811352974,0.999811352974,-0.000647234214671,0
7,0.999118509505,0.999508255081,0.999794812359,0.999794812359,-0.0006763028544,0
7.5,0.999033670107,0.99947030626,0.999778952882,0.999778952882,-0.000745282775019,0
8,0.998947987713,0.999431840107,0.99976287941,0.99976287941,-0.000814891697322,0
8.5,0.998892107473,0.999391478224,0.999746012375,0.999746012375,-0.000853904901966,0
9,0.998838108621,0.99935168614,0.999729375126,0.999729375126,-0.000891266504549,0
9.5,0.998746984722,0.999313296069,0.999713320654,0.999713320654,-0.000966335931688,0
10,0.999256361403,0.999273657778,0.999696747398,0.999696747398,-0.000440385995349,1
10.5,0.999200979008,0.999232527591,0.999679546508,0.999679546508,-0.000478567500139,1
11,0.99911508534,0.999192608701,0.999662843471,0.999662843471,-0.00054775813075,1
11.5,0.99903838407,0.999153546053,0.999646497963,0.999646497963,-0.000608113893363,1
12,0.998968122443,0.999112715222,0.999629415587,0.999629415587,-0.000661293143439,1
12.5,0.998918892425,0.999071053562,0.999611979132,0.999611979132,-0.000693086706991,1
13,0.998841070938,0.99903275832,0.999595198099,0.999595198099,-0.000754127161421,1
13.5,0.998761377747,0.999001045578,0.999578466167,0.999578466167,-0.000817088419986,1
14,0.99869642254,0.998967353679,0.999560908225,0.999560908225,-0.000864485684984,1
14.5,0.998645321734,0.998933651116,0.999543324354,0.999543324354,-0.000898002620096,1
15,0.99856081099,0.998901561108,0.999526412462,0.999526412462,-0.000965601472341,1
15.5,0.998481128171,0.998868755164,0.999509217884,0.999509217884,-0.00102808971298,1
16,0.998426350511,0.998834127271,0.999491254321,0.999491254321,-0.00106490381063,1
16.5,0.998366208129,0.998800250166,0.99947358398,0.99947358398,-0.00110737585033,1
17,0.998278214398,0.998767659993,0.999456457985,0.999456457985,-0.00117824358775,1
17.5,0.998201061872,0.998733664943,0.999438758486,0.999438758486,-0.00123769661458,1
18,0.9981551102,0.998698326533,0.999420482095,0.999420482095,-0.00126537189435,1
18.5,0.998082169584,0.998664321939,0.999402747235,0.999402747235,-0.00132057765155,1
19,0.997993292085,0.998630996631,0.999385309683,0.999385309683,-0.001392017598,1
19.5,0.997923001824,0.99859581869,0.999369032718,0.999369032718,-0.00144603089385,1
20,0.998477467355,0.99856000424,0.999355968805,0.999355968805,-0.000878501450181,2
