t_us,qec_average_fidelity_phase_calibrated,S4_average_fidelity_phase_calibrated,S5_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,-6.66133814775e-16,0
0.5,0.999990550755,0.9999963607,0.999997373796,0.999997373796,-6.82304131683e-06,0
1,0.999950590923,0.999976536731,0.999984490969,0.999984490969,-3.39000462395e-05,0
1.5,0.999896841526,0.999946548296,0.999968561652,0.999968561652,-7.17201253544e-05,0
2,0.999821009403,0.999912707288,0.999953741185,0.999953741185,-0.000132731782362,0
2.5,0.999742568041,0.999875754276,0.999938493789,0.999938493789,-0.000195925748102,0
3,0.999681415852,0.999836385115,0.999922411615,0.999922411615,-0.000240995763085,0
3.5,0.999609536539,0.999796056879,0.999906744097,0.999906744097,-0.000297207558476,0
4,0.999520231659,0.999754918676,0.999891493249,0.999891493249,-0.000371261590087,0
4.5,0.999437049353,0.99971212225,0.999875538733,0.999875538733,-0.000438489380531,0
5,0.999374301248,0.999667947489,0.99985916315,0.99985916315,-0.000484861902123,0
5.5,0.999287918876,0.999626955625,0.99984342073,0.99984342073,-0.000555501854028,0
6,0.999191587817,0.999602403126,0.999827796718,0.999827796718,-0.000636208901354,0
6.5,0.999109354735,0.999576138223,0.999811352974,0.999811352974,-0.000701998239601,0
7,0.999040184792,0.9995487859,0.999794812359,0.999794812359,-0.000754627567655,0
7.5,0.998940538633,0.999520953023,0.999778952882,0.999778952882,-0.000838414248579,0
8,0.998839019154,0.999491880531,0.99976287941,0.99976287941,-0.000923860255891,0
8.5,0.998759865462,0.999461131662,0.999746012375,0.999746012375,-0.00098614691296,0
9,0.998678542333,0.999429563234,0.999729375126,0.999729375126,-0.00105083279318,0
9.5,0.998568084958,0.999397421688,0.999713320654,0.999713320654,-0.00114523569559,0
10,0.999532356619,0.999363796015,0.999696747398,0.999696747398,-0.000164390778519,1
10.5,0.999492583985,0.999328643539,0.999679546508,0.999679546508,-0.000186962522942,1
11,0.999419941369,0.999292885142,0.999662843471,0.999662843471,-0.000242902102144,1
11.5,0.999341991754,0.999256358988,0.999646497963,0.999646497963,-0.000304506208558,1
12,0.999268569865,0.999218181054,0.999629415587,0.999629415587,-0.000360845721231,1
12.5,0.999209498782,0.999178710826,0.999611979132,0.999611979132,-0.000402480350605,1
13,0.99912702793,0.999138752668,0.999595198099,0.999595198099,-0.000468170169467,1
13.5,0.999039542877,0.999097768606,0.999578466167,0.999578466167,-0.000538923290042,1
14,0.998964889896,0.999055075031,0.999560908225,0.999560908225,-0.000596018328969,1
14.5,0.99889813298,0.999011362784,0.999543324354,0.999543324354,-0.00064519137419,1
15,0.998804052281,0.998967162115,0.999526412462,0.999526412462,-0.000722360181607,1
15.5,0.998711574826,0.998941441096,0.999509217884,0.999509217884,-0.000797643058241,1
16,0.99863884484,0.998915351632,0.999491254321,0.999491254321,-0.000852409481274,1
16.5,0.998559436726,0.998888508185,0.99947358398,0.99947358398,-0.000914147253745,1
17,0.998456168753,0.998861047647,0.999456457985,0.999456457985,-0.00100028923186,1
17.5,0.998361090707,0.998832048762,0.999438758486,0.999438758486,-0.00107766777963,1
18,0.998288758899,0.998801580619,0.999420482095,0.999420482095,-0.00113172319541,1
18.5,0.998193867417,0.998770549423,0.999402747235,0.999402747235,-0.00120887981845,1
19,0.998083755167,0.998738684815,0.999385309683,0.999385309683,-0.00130155451616,1
19.5,0.997989231485,0.998705141608,0.999369032718,0.999369032718,-0.00137980123295,1
20,0.999038113695,0.99867037908,0.999355968805,0.999355968805,-0.000317855110004,2
