t_us,qec_average_fidelity_phase_calibrated,X2_average_fidelity_phase_calibrated,S1_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,-4.4408920985e-16,0
0.5,0.999974030278,0.999989053539,0.999993684774,0.999993684774,-1.96544964459e-05,0
1,0.999851456847,0.999925936279,0.999962740921,0.999962740921,-0.000111284074381,0
1.5,0.999668501726,0.999821741151,0.999924534342,0.999924534342,-0.000256032616269,0
2,0.999422516343,0.999696506398,0.999889005273,0.999889005273,-0.00046648892942,0
2.5,0.999160525252,0.999557611506,0.999852441912,0.999852441912,-0.000691916660571,0
3,0.998926254629,0.999423481485,0.999813884191,0.999813884191,-0.000887629562527,0
3.5,0.998664189076,0.999314852466,0.999776338579,0.999776338579,-0.0011121495031,0
4,0.998363289933,0.999201409875,0.999739795274,0.999739795274,-0.0013765053415,0
4.5,0.998071865788,0.999081851914,0.999701562726,0.999701562726,-0.00162969693838,0
5,0.997815520169,0.998956833099,0.99966233409,0.99966233409,-0.0018468139207,0
5.5,0.997507581774,0.998827864229,0.999624638136,0.999624638136,-0.00211705636271,0
6,0.997176325192,0.998694096682,0.999587224671,0.999587224671,-0.00241089947898,0
6.5,0.996870964776,0.998554273362,0.999547847366,0.999547847366,-0.00267688259056,0
7,0.996584590652,0.998409553766,0.999508255081,0.999508255081,-0.00292366442941,0
7.5,0.996234121235,0.998275717843,0.99947030626,0.99947030626,-0.003236185025,0
8,0.995877032177,0.998166828358,0.999431840107,0.999431840107,-0.00355480793083,0
8.5,0.995561451118,0.998051965828,0.999391478224,0.999391478224,-0.00383002710584,0
9,0.995234069527,0.997932680196,0.99935168614,0.99935168614,-0.00411761661322,0
9.5,0.994846196458,0.997809301727,0.999313296069,0.999313296069,-0.00446709961178,0
10,0.99900516843,0.997680218847,0.999273657778,0.999273657778,-0.000268489348581,1
10.5,0.998878504481,0.997545475982,0.999232527591,0.999232527591,-0.000354023109255,1
11,0.998646436175,0.997406684999,0.999192608701,0.999192608701,-0.000546172525418,1
11.5,0.998389211048,0.997263451239,0.999153546053,0.999153546053,-0.000764335004567,1
12,0.998134536682,0.997129712195,0.999112715222,0.999112715222,-0.000978178540211,1
12.5,0.997901688777,0.997020160167,0.999071053562,0.999071053562,-0.00116936478538,1
13,0.99761760719,0.996906726744,0.99903275832,0.99903275832,-0.00141515113037,1
13.5,0.997319645287,0.996788351206,0.999001045578,0.999001045578,-0.00168140029016,1
14,0.997045026401,0.996663945071,0.998967353679,0.998967353679,-0.00192232727829,1
14.5,0.996779256656,0.996534824342,0.998933651116,0.998933651116,-0.00215439446025,1
15,0.996455576313,0.996401792492,0.998901561108,0.998901561108,-0.00244598479491,1
15.5,0.996132092924,0.996263365584,0.998868755164,0.998868755164,-0.00273666223947,1
16,0.995844714919,0.996119086812,0.998834127271,0.998834127271,-0.00298941235122,1
16.5,0.99553698025,0.995986705449,0.998800250166,0.998800250166,-0.00326326991667,1
17,0.995178917324,0.995878719142,0.998767659993,0.998767659993,-0.00358874266865,1
17.5,0.994835161115,0.995764933935,0.998733664943,0.998733664943,-0.00389850382808,1
18,0.994531368215,0.995645641474,0.998698326533,0.998698326533,-0.00416695831804,1
18.5,0.994176616169,0.995522396596,0.998664321939,0.998664321939,-0.00448770576949,1
19,0.99378924178,0.995394569852,0.998630996631,0.998630996631,-0.00484175485093,1
19.5,0.993431446496,0.995260760874,0.99859581869,0.99859581869,-0.00516437219381,1
20,0.997952531867,0.995121925309,0.99856000424,0.99856000424,-0.000607472373638,2
