t_us,qec_average_fidelity_phase_calibrated,S2_average_fidelity_phase_calibrated,S3_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,1.11022302463e-16,0
0.5,0.999146606219,0.999497930615,0.999927003342,0.999927003342,-0.000780397123157,0
1,0.995618782742,0.996833914844,0.999551979614,0.999551979614,-0.00393319687175,0
1.5,0.989946274794,0.992859592392,0.999032823707,0.999032823707,-0.0090865489133,0
2,0.982052552393,0.988432142448,0.998482116918,0.998482116918,-0.016429564525,0
2.5,0.974462340856,0.98387329551,0.997956332192,0.997956332192,-0.0234939913364,0
3,0.968304765365,0.979387843072,0.997400561409,0.997400561409,-0.029095796044,0
3.5,0.960665997254,0.97492133822,0.996841793838,0.996841793838,-0.0361757965831,0
4,0.952299071379,0.970606550788,0.996278451132,0.996278451132,-0.0439793797529,0
4.5,0.944942660464,0.966246041286,0.995688967124,0.995688967124,-0.0507463066605,0
5,0.938525216772,0.961992864121,0.995100115615,0.995100115615,-0.056574898843,0
5.5,0.930152007324,0.957788392402,0.994567763242,0.994567763242,-0.0644157559178,0
6,0.921773157828,0.953630724197,0.994024963896,0.994024963896,-0.0722518060685,0
6.5,0.914807366409,0.949512793052,0.993455035059,0.993455035059,-0.0786476686501,0
7,0.907800361149,0.94542503365,0.992875548457,0.992875548457,-0.0850751873086,0
7.5,0.899012067698,0.941460530867,0.99229929396,0.99229929396,-0.0932872262614,0
8,0.890822566371,0.937458172689,0.99174514086,0.99174514086,-0.100922574489,0
8.5,0.884184721176,0.933562513859,0.991196543116,0.991196543116,-0.10701182194,0
9,0.876427699785,0.929684242826,0.990645053632,0.990645053632,-0.114217353847,0
9.5,0.86756274909,0.92589213496,0.990093385777,0.990093385777,-0.122530636688,0
10,0.9784247263,0.922106965827,0.98951874301,0.98951874301,-0.0110940167104,1
10.5,0.974846365845,0.9183584189,0.988923748618,0.988923748618,-0.0140773827732,1
11,0.967798375431,0.914704980128,0.988391297345,0.988391297345,-0.0205929219141,1
11.5,0.959842217212,0.911046281333,0.987861785644,0.987861785644,-0.0280195684321,1
12,0.952802010318,0.907468393355,0.987305975491,0.987305975491,-0.0345039651732,1
12.5,0.946675524758,0.903886107999,0.986736436762,0.986736436762,-0.040060912004,1
13,0.938667275045,0.900419953477,0.986170584514,0.986170584514,-0.0475033094691,1
13.5,0.930750031931,0.896944165482,0.985604667531,0.985604667531,-0.0548546355999,1
14,0.924109675552,0.893509506822,0.985068761582,0.985068761582,-0.0609590860294,1
14.5,0.917344789473,0.890135227261,0.984526188229,0.984526188229,-0.0671813987561,1
15,0.908917968594,0.886794705046,0.983985822302,0.983985822302,-0.0750678537082,1
15.5,0.901092009156,0.883505237433,0.983426043985,0.983426043985,-0.0823340348288,1
16,0.894716912786,0.880198560336,0.982843071739,0.982843071739,-0.0881261589525,1
16.5,0.887125888501,0.877019493128,0.982293337624,0.982293337624,-0.0951674491232,1
17,0.878592735685,0.873826893786,0.981776136814,0.981776136814,-0.103183401129,1
17.5,0.871075269906,0.870684774215,0.981234617278,0.981234617278,-0.110159347373,1
18,0.864710533549,0.867564862439,0.980675469779,0.980675469779,-0.11596493623,1
18.5,0.856406219096,0.864507205116,0.980119244329,0.980119244329,-0.123713025232,1
19,0.847995690474,0.861485115192,0.979554721777,0.979554721777,-0.131559031303,1
19.5,0.840942964828,0.8584543029,0.979018777629,0.979018777629,-0.138075812802,1
20,0.955461293114,0.855514232769,0.978485279855,0.978485279855,-0.0230239867409,2
