t_us,qec_average_fidelity_phase_calibrated,X2_average_fidelity_phase_calibrated,S5_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,1.11022302463e-16,0
0.5,0.999979571866,0.999989053539,0.999997373796,0.999997373796,-1.78019306959e-05,0
1,0.999878604892,0.999925936279,0.999984490969,0.999984490969,-0.000105886077252,0
1.5,0.999719094522,0.999821741151,0.999968561652,0.999968561652,-0.000249467129826,0
2,0.999504613493,0.999696506398,0.999953741185,0.999953741185,-0.000449127691971,0
2.5,0.999273067289,0.999557611506,0.999938493789,0.999938493789,-0.000665426500252,0
3,0.999056837672,0.999423481485,0.999922411615,0.999922411615,-0.000865573942985,0
3.5,0.998816821282,0.999314852466,0.999906744097,0.999906744097,-0.00108992281516,0
4,0.998550207934,0.999201409875,0.999891493249,0.999891493249,-0.00134128531528,0
4.5,0.998285033962,0.999081851914,0.999875538733,0.999875538733,-0.00159050477075,0
5,0.998043918994,0.998956833099,0.99985916315,0.99985916315,-0.00181524415557,0
5.5,0.9977618036,0.998827864229,0.99984342073,0.99984342073,-0.00208161713007,0
6,0.997465304518,0.998694096682,0.999827796718,0.999827796718,-0.0023624921998,0
6.5,0.997180651873,0.998554273362,0.999811352974,0.999811352974,-0.00263070110122,0
7,0.996909049531,0.998409553766,0.999794812359,0.999794812359,-0.00288576282863,0
7.5,0.996588900298,0.998275717843,0.999778952882,0.999778952882,-0.00319005258403,0
8,0.996264434741,0.998166828358,0.99976287941,0.99976287941,-0.00349844466888,0
8.5,0.995964077692,0.998051965828,0.999746012375,0.999746012375,-0.00378193468329,0
9,0.995653530177,0.997932680196,0.999729375126,0.999729375126,-0.00407584494827,0
9.5,0.995299860029,0.997809301727,0.999713320654,0.999713320654,-0.0044134606248,0
10,0.99937101929,0.997680218847,0.999696747398,0.999696747398,-0.000325728108112,1
10.5,0.999269505069,0.997545475982,0.999679546508,0.999679546508,-0.000410041439666,1
11,0.999069480788,0.997406684999,0.999662843471,0.999662843471,-0.000593362682727,1
11.5,0.998844534246,0.997263451239,0.999646497963,0.999646497963,-0.000801963717394,1
12,0.998614103713,0.997129712195,0.999629415587,0.999629415587,-0.00101531187379,1
12.5,0.998398716476,0.997020160167,0.999611979132,0.999611979132,-0.00121326265607,1
13,0.998142297296,0.996906726744,0.999595198099,0.999595198099,-0.00145290080267,1
13.5,0.99787751507,0.996788351206,0.999578466167,0.999578466167,-0.00170095109747,1
14,0.997622980593,0.996663945071,0.999560908225,0.999560908225,-0.00193792763241,1
14.5,0.997374608551,0.996534824342,0.999543324354,0.999543324354,-0.00216871580351,1
15,0.997082190613,0.996401792492,0.999526412462,0.999526412462,-0.00244422184952,1
15.5,0.996789335225,0.996263365584,0.999509217884,0.999509217884,-0.00271988265914,1
16,0.996517569119,0.996119086812,0.999491254321,0.999491254321,-0.00297368520183,1
16.5,0.996229465194,0.995986705449,0.99947358398,0.99947358398,-0.00324411878601,1
17,0.995905521703,0.995878719142,0.999456457985,0.999456457985,-0.00355093628218,1
17.5,0.995587707964,0.995764933935,0.999438758486,0.999438758486,-0.00385105052244,1
18,0.995296440449,0.995645641474,0.999420482095,0.999420482095,-0.00412404164608,1
18.5,0.994965348185,0.995522396596,0.999402747235,0.999402747235,-0.00443739905076,1
19,0.994613015128,0.995394569852,0.999385309683,0.999385309683,-0.00477229455464,1
19.5,0.994275133489,0.995260760874,0.999369032718,0.999369032718,-0.00509389922816,1
20,0.998705069237,0.995121925309,0.999355968805,0.999355968805,-0.000650899568407,2
