t_us,qec_average_fidelity_phase_calibrated,S6_average_fidelity_phase_calibrated,S1_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,1.11022302463e-16,0
0.5,0.999977572042,0.999991398232,0.999993684774,0.999993684774,-1.61127325149e-05,0
1,0.999884107972,0.999949264355,0.999962740921,0.999962740921,-7.86329489563e-05,0
1.5,0.999776341546,0.999897467076,0.999924534342,0.999924534342,-0.000148192796014,0
2,0.99964661175,0.999849806152,0.999889005273,0.999889005273,-0.00024239352321,0
2.5,0.999518000591,0.99980108661,0.999852441912,0.999852441912,-0.000334441321525,0
3,0.999422001728,0.999749737567,0.999813884191,0.999813884191,-0.000391882463113,0
3.5,0.99931430465,0.99969982672,0.999776338579,0.999776338579,-0.000462033929053,0
4,0.999177997047,0.999651422462,0.999739795274,0.999739795274,-0.000561798227845,0
4.5,0.999053297665,0.999600805722,0.999701562726,0.999701562726,-0.000648265061517,0
5,0.998966447848,0.999548834443,0.99966233409,0.99966233409,-0.000695886241974,0
5.5,0.998845307098,0.999499018344,0.999624638136,0.999624638136,-0.000779331038824,0
6,0.998706343102,0.999449726909,0.999587224671,0.999587224671,-0.000880881569246,0
6.5,0.998593053966,0.999397815709,0.999547847366,0.999547847366,-0.000954793400671,0
7,0.998506906666,0.99934560858,0.999508255081,0.999508255081,-0.0010013484152,0
7.5,0.998372923636,0.999295737488,0.99947030626,0.99947030626,-0.00109738262427,0
8,0.998234531089,0.999245298844,0.999431840107,0.999431840107,-0.00119730901852,0
8.5,0.998136483378,0.999192301988,0.999391478224,0.999391478224,-0.00125499484598,0
9,0.998041546892,0.999140087448,0.99935168614,0.99935168614,-0.00131013924787,0
9.5,0.997898032427,0.999089910734,0.999313296069,0.999313296069,-0.00141526364262,0
10,0.998766649672,0.999038154302,0.999273657778,0.999273657778,-0.000507008106584,1
10.5,0.998666525534,0.998984361326,0.999232527591,0.999232527591,-0.000566002056032,1
11,0.998520091146,0.998932247952,0.999192608701,0.999192608701,-0.000672517554953,1
11.5,0.998390816357,0.998881453456,0.999153546053,0.999153546053,-0.000762729696156,1
12,0.998276390416,0.998828341097,0.999112715222,0.999112715222,-0.00083632480598,1
12.5,0.998185095841,0.998774073643,0.999071053562,0.999071053562,-0.00088595772129,1
13,0.998057856213,0.998722030312,0.99903275832,0.99903275832,-0.000974902107467,1
13.5,0.997925113243,0.998677459499,0.999001045578,0.999001045578,-0.00107593233496,1
14,0.99781761159,0.998631222233,0.998967353679,0.998967353679,-0.00114974208979,1
14.5,0.99772427487,0.998584856923,0.998933651116,0.998933651116,-0.00120937624688,1
15,0.997587694452,0.998540808632,0.998901561108,0.998901561108,-0.00131386665568,1
15.5,0.99745701554,0.998496027589,0.998868755164,0.998868755164,-0.00141173962365,1
16,0.997361990425,0.99844874224,0.998834127271,0.998834127271,-0.00147213684585,1
16.5,0.997258164035,0.998402390904,0.998800250166,0.998800250166,-0.00154208613132,1
17,0.997115714048,0.998357988562,0.998767659993,0.998767659993,-0.00165194594475,1
17.5,0.996990982966,0.99831187283,0.998733664943,0.998733664943,-0.00174268197712,1
18,0.996906217974,0.998263837207,0.998698326533,0.998698326533,-0.00179210855918,1
18.5,0.99678692483,0.998217587599,0.998664321939,0.998664321939,-0.0018773971092,1
19,0.996642603774,0.998172515172,0.998630996631,0.998630996631,-0.00198839285648,1
19.5,0.996528732734,0.998125048169,0.99859581869,0.99859581869,-0.00206708595584,1
20,0.9974851091,0.99807658295,0.99856000424,0.99856000424,-0.0010748951406,2
