t_us,qec_average_fidelity_phase_calibrated,S3_average_fidelity_phase_calibrated,S1_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,1.11022302463e-16,0
0.5,0.999883129848,0.999927003342,0.999993684774,0.999993684774,-0.000110554926525,0
1,0.999384002127,0.999551979614,0.999962740921,0.999962740921,-0.000578738793828,0
1.5,0.998707268091,0.999032823707,0.999924534342,0.999924534342,-0.00121726625115,0
2,0.997823733827,0.998482116918,0.999889005273,0.999889005273,-0.00206527144583,0
2.5,0.996895999105,0.997956332192,0.999852441912,0.999852441912,-0.00295644280774,0
3,0.996120996329,0.997400561409,0.999813884191,0.999813884191,-0.00369288786239,0
3.5,0.995192160037,0.996841793838,0.999776338579,0.999776338579,-0.00458417854221,0
4,0.994207756021,0.996278451132,0.999739795274,0.999739795274,-0.00553203925305,0
4.5,0.993179705674,0.995688967124,0.999701562726,0.999701562726,-0.00652185705246,0
5,0.99239511078,0.995100115615,0.99966233409,0.99966233409,-0.00726722330978,0
5.5,0.991311512345,0.994567763242,0.999624638136,0.999624638136,-0.00831312579151,0
6,0.990267834441,0.994024963896,0.999587224671,0.999587224671,-0.00931939023053,0
6.5,0.989228486026,0.993455035059,0.999547847366,0.999547847366,-0.0103193613403,0
7,0.988357288935,0.992875548457,0.999508255081,0.999508255081,-0.0111509661463,0
7.5,0.987176489261,0.99229929396,0.99947030626,0.99947030626,-0.0122938169988,0
8,0.986048728291,0.99174514086,0.999431840107,0.999431840107,-0.0133831118169,0
8.5,0.985049530701,0.991196543116,0.999391478224,0.999391478224,-0.0143419475222,0
9,0.9840172135,0.990645053632,0.99935168614,0.99935168614,-0.0153344726397,0
9.5,0.982787902653,0.990093385777,0.999313296069,0.999313296069,-0.0165253934163,0
10,0.994175947558,0.98951874301,0.999273657778,0.999273657778,-0.00509771022001,1
10.5,0.993700145097,0.988923748618,0.999232527591,0.999232527591,-0.00553238249334,1
11,0.992777539562,0.988391297345,0.999192608701,0.999192608701,-0.0064150691389,1
11.5,0.991931272717,0.987861785644,0.999153546053,0.999153546053,-0.00722227333555,1
12,0.991009974521,0.987305975491,0.999112715222,0.999112715222,-0.00810274070091,1
12.5,0.990276617699,0.986736436762,0.999071053562,0.999071053562,-0.00879443586348,1
13,0.989246573569,0.986170584514,0.99903275832,0.99903275832,-0.00978618475188,1
13.5,0.988302265516,0.985604667531,0.999001045578,0.999001045578,-0.010698780062,1
14,0.987351415375,0.985068761582,0.998967353679,0.998967353679,-0.011615938304,1
14.5,0.986513359462,0.984526188229,0.998933651116,0.998933651116,-0.0124202916541,1
15,0.985408143334,0.983985822302,0.998901561108,0.998901561108,-0.0134934177735,1
15.5,0.984374435947,0.983426043985,0.998868755164,0.998868755164,-0.0144943192166,1
16,0.983455499803,0.982843071739,0.998834127271,0.998834127271,-0.0153786274674,1
16.5,0.982449387289,0.982293337624,0.998800250166,0.998800250166,-0.0163508628771,1
17,0.981312132205,0.981776136814,0.998767659993,0.998767659993,-0.0174555277879,1
17.5,0.98019508343,0.981234617278,0.998733664943,0.998733664943,-0.018538581513,1
18,0.979295139517,0.980675469779,0.998698326533,0.998698326533,-0.0194031870161,1
18.5,0.978113621934,0.980119244329,0.998664321939,0.998664321939,-0.0205507000051,1
19,0.976947292514,0.979554721777,0.998630996631,0.998630996631,-0.021683704117,1
19.5,0.975794147054,0.979018777629,0.99859581869,0.99859581869,-0.0228016716361,1
20,0.988076541119,0.978485279855,0.99856000424,0.99856000424,-0.0104834631213,2
