t_us,qec_average_fidelity_phase_calibrated,Dp80_average_fidelity_phase_calibrated,Dm50_average_fidelity_phase_calibrated,best_single_average_fidelity,qec_minus_best_single,recovery_count
0,1,1,1,1,-2.22044604925e-16,0
0.5,0.999959900078,0.999960134007,0.999984022317,0.999984022317,-2.41222389147e-05,0
1,0.999753054128,0.999712663787,0.999885032175,0.999885032175,-0.000131978047471,0
1.5,0.999381682444,0.999264886877,0.999706002754,0.999706002754,-0.000324320309977,0
2,0.998815169824,0.998788214146,0.999478987427,0.999478987427,-0.000663817603307,0
2.5,0.99818650918,0.998257606207,0.999271596399,0.999271596399,-0.00108508721843,0
3,0.997626724626,0.997686544933,0.999064855098,0.999064855098,-0.00143813047203,0
3.5,0.997016824828,0.997085263981,0.998845311338,0.998845311338,-0.00182848650953,0
4,0.996274929007,0.996548891103,0.998614553909,0.998614553909,-0.00233962490255,0
4.5,0.995558651766,0.995997179007,0.998372981408,0.998372981408,-0.00281432964168,0
5,0.994923867673,0.995420671767,0.998120921668,0.998120921668,-0.00319705399515,0
5.5,0.994192414641,0.994819857427,0.997891959887,0.997891959887,-0.00369954524536,0
6,0.9933493501,0.994288428914,0.997684427638,0.997684427638,-0.00433507753788,0
6.5,0.992582164505,0.993739389906,0.997466394723,0.997466394723,-0.00488423021878,0
7,0.991867267189,0.993165989356,0.997238060194,0.997238060194,-0.00537079300552,0
7.5,0.99101174417,0.992568534096,0.996999580518,0.996999580518,-0.00598783634858,0
8,0.990086865845,0.99204292456,0.996750772836,0.996750772836,-0.00666390699105,0
8.5,0.989274932926,0.99149684935,0.99651138793,0.99651138793,-0.0072364550038,0
9,0.988463763243,0.990926641248,0.996306756612,0.996306756612,-0.00784299336956,0
9.5,0.987487183834,0.990332542108,0.996091944871,0.996091944871,-0.00860476103694,0
10,0.999305918529,0.989812692135,0.995866740667,0.995866740667,0.00343917786181,1
10.5,0.999103059295,0.98926957973,0.995631185596,0.995631185596,0.0034718736988,1
11,0.99864604971,0.988702556207,0.995385529395,0.995385529395,0.00326052031437,1
11.5,0.99801725739,0.988113741009,0.995136189605,0.995136189605,0.00288106778547,1
12,0.997400431098,0.987597630782,0.994934496992,0.994934496992,0.0024659341066,1
12.5,0.996845290996,0.987057481323,0.994722517743,0.994722517743,0.00212277325366,1
13,0.996189478189,0.986493628146,0.994500454848,0.994500454848,0.00168902334086,1
13.5,0.995436619365,0.985911004366,0.99426816509,0.99426816509,0.0011684542741,1
14,0.994758746732,0.985397639806,0.994025525396,0.994025525396,0.000733221335922,1
14.5,0.99411716113,0.984860453732,0.993772754424,0.993772754424,0.000344406705831,1
15,0.993337967426,0.984299750338,0.993567401842,0.993567401842,-0.000229434416063,1
15.5,0.992504168547,0.983723246088,0.993358523258,0.993358523258,-0.000854354711298,1
16,0.991776437719,0.983212620311,0.993139320182,0.993139320182,-0.00136288246285,1
16.5,0.991034345005,0.982678395783,0.992910044762,0.992910044762,-0.00187569975701,1
17,0.990136111568,0.982120816004,0.992670712142,0.992670712142,-0.0025346005738,1
17.5,0.989240414138,0.981550363355,0.992421114609,0.992421114609,-0.00318070047095,1
18,0.988459004364,0.981042474541,0.992205371619,0.992205371619,-0.00374636725494,1
18.5,0.987602065044,0.980511205272,0.991999498944,0.991999498944,-0.00439743390003,1
19,0.986596990404,0.979956718998,0.991783501194,0.991783501194,-0.00518651079035,1
19.5,0.985655945776,0.979392255789,0.991557209692,0.991557209692,-0.00590126391689,1
20,0.998530378489,0.978887105166,0.991320799038,0.991320799038,0.00720957945088,2
