t_us,bell_fidelity_without_protocol,decoded_bell_fidelity_with_qec,recovery_count_applied
0,1,1,0
0.1,0.999997083419,0.999998565436,0
0.2,0.999954377776,0.99997751409,0
0.3,0.999799692271,0.999900937647,0
0.4,0.999466632088,0.999734993609,0
0.5,0.998912319499,0.999456457068,0
0.6,0.998119149696,0.999053738296,0
0.7,0.997090229197,0.998524988932,0
0.8,0.995843107618,0.99787542677,0
0.9,0.994403859943,0.997114790995,0
1,0.992802304227,0.996255259483,0
1.1,0.991068523181,0.995309893497,0
1.2,0.989230578333,0.994291562163,0
1.3,0.987313197856,0.993212259672,0
1.4,0.985337197864,0.992082722812,0
1.5,0.983319416679,0.990912265708,0
1.6,0.981272978085,0.989708762997,0
1.7,0.979207740231,0.98847872764,0
1.8,0.977130825118,0.987227443116,0
1.9,0.975047156487,0.985959121173,0
2,0.972959960522,0.984677065465,0
2.1,0.970871204019,0.983383828436,0
2.2,0.968781959378,0.98208135408,0
2.3,0.966692695709,0.980771102907,0
2.4,0.964603501576,0.979454158058,0
2.5,0.962514248289,0.978131313111,0
2.6,0.960424704024,0.976803143131,0
2.7,0.958334609029,0.975470061018,0
2.8,0.956243721363,0.97413236134,0
2.9,0.954151841311,0.972790253838,0
3,0.952058821142,0.97144388857,0
3.1,0.949964565464,0.970093374464,0
3.2,0.947869026096,0.968738792746,0
3.3,0.94577219426,0.967380206486,0
3.4,0.943674091986,0.966017667239,0
3.5,0.941574763906,0.964651219558,0
3.6,0.939474270078,0.963280903992,0
3.7,0.937372680146,0.961906758998,0
3.8,0.935270068846,0.960528822126,0
3.9,0.933166512763,0.959147130705,0
4,0.931062088158,0.957761722206,0
4.1,0.928956869628,0.956372634407,0
4.2,0.926850929415,0.954979905438,0
4.3,0.924744337165,0.953583573754,0
4.4,0.922637159973,0.952183678082,0
4.5,0.920529462614,0.950780257353,0
4.6,0.918421307848,0.949373350634,0
4.7,0.916312756749,0.947962997069,0
4.8,0.914203869018,0.946549235823,0
4.9,0.912094703254,0.945132106044,0
5,0.909985317171,0.943711646825,0
5.1,0.907875767774,0.942287897178,0
5.2,0.905766111475,0.940860896016,0
5.3,0.903656404183,0.939430682138,0
5.4,0.901546701353,0.937997294213,0
5.5,0.899437058014,0.936560770781,0
5.6,0.897327528781,0.93512115024,0
5.7,0.89521816786,0.933678470846,0
5.8,0.893109029038,0.932232770708,0
5.9,0.891000165677,0.930784087789,0
6,0.888891630707,0.929332459904,0
6.1,0.886783476618,0.927877924718,0
6.2,0.884675755454,0.926420519747,0
6.3,0.88256851881,0.924960282359,0
6.4,0.88046181783,0.92349724977,0
6.5,0.878355703206,0.922031459045,0
6.6,0.876250225182,0.920562947103,0
6.7,0.874145433551,0.919091750708,0
6.8,0.872041377665,0.917617906477,0
6.9,0.869938106432,0.916141450874,0
7,0.867835668324,0.914662420213,0
7.1,0.865734111376,0.913180850656,0
7.2,0.863633483193,0.911696778217,0
7.3,0.861533830953,0.910210238753,0
7.4,0.859435201407,0.908721267974,0
7.5,0.857337640885,0.907229901438,0
7.6,0.855241195296,0.905736174548,0
7.7,0.853145910132,0.904240122558,0
7.8,0.85105183047,0.902741780571,0
7.9,0.848959000973,0.901241183535,0
8,0.846867465893,0.89973836625,0
8.1,0.844777269073,0.898233363362,0
8.2,0.842688453949,0.896726209367,0
8.3,0.840601063551,0.895216938609,0
8.4,0.838515140506,0.893705585282,0
8.5,0.836430727039,0.892192183427,0
8.6,0.834347864974,0.890676766936,0
8.7,0.832266595742,0.889159369551,0
8.8,0.830186960372,0.887640024863,0
8.9,0.828108999505,0.886118766313,0
9,0.826032753386,0.884595627193,0
9.1,0.823958261871,0.883070640644,0
9.2,0.821885564431,0.881543839661,0
9.3,0.819814700148,0.880015257085,0
9.4,0.817745707721,0.878484925614,0
9.5,0.815678625468,0.876952877795,0
9.6,0.813613491327,0.875419146025,0
9.7,0.811550342856,0.873883762556,0
9.8,0.809489217239,0.872346759492,0
9.9,0.807430151288,0.870808168789,0
10,0.805373181438,0.934940187633,1
10.1,0.80331834376,0.933637421594,1
10.2,0.801265673952,0.932215730176,1
10.3,0.799215207348,0.930718797545,1
10.4,0.79716697892,0.929176045608,1
10.5,0.795121023274,0.927606972771,1
10.6,0.793077374658,0.926024163285,1
10.7,0.791036066963,0.924435426692,1
10.8,0.788997133722,0.922845331562,1
10.9,0.786960608113,0.921256302236,1
11,0.784926522964,0.91966939432,1
11.1,0.78289491075,0.918084832967,1
11.2,0.780865803601,0.916502377044,1
11.3,0.778839233297,0.914921557322,1
11.4,0.776815231274,0.913341825342,1
11.5,0.774793828627,0.911762640612,1
11.6,0.77277505611,0.910183516593,1
11.7,0.770758944134,0.908604040319,1
11.8,0.76874552278,0.90702387608,1
11.9,0.766734821787,0.90544276028,1
12,0.764726870565,0.903860492125,1
12.1,0.762721698191,0.902276923008,1
12.2,0.760719333413,0.900691946254,1
12.3,0.758719804652,0.899105488049,1
12.4,0.756723140002,0.897517499865,1
12.5,0.754729367234,0.895927952396,1
12.6,0.752738513796,0.894336830847,1
12.7,0.750750606818,0.892744131351,1
12.8,0.748765673109,0.891149858293,1
12.9,0.746783739164,0.889554022324,1
13,0.744804831161,0.887956638886,1
13.1,0.742828974968,0.886357727106,1
13.2,0.74085619614,0.884757308963,1
13.3,0.738886519923,0.883155408644,1
13.4,0.736919971257,0.881552052032,1
13.5,0.734956574775,0.879947266303,1
13.6,0.732996354808,0.878341079598,1
13.7,0.731039335384,0.876733520755,1
13.8,0.729085540231,0.875124619098,1
13.9,0.727134992779,0.87351440426,1
14,0.725187716162,0.871902906053,1
14.1,0.723243733219,0.870290154362,1
14.2,0.721303066496,0.868676179071,1
14.3,0.719365738248,0.867061010005,1
14.4,0.71743177044,0.865444676895,1
14.5,0.715501184751,0.863827209356,1
14.6,0.713574002573,0.862208636869,1
14.7,0.711650245014,0.860588988779,1
14.8,0.7097299329,0.858968294292,1
14.9,0.707813086777,0.857346582478,1
15,0.705899726912,0.85572388227,1
15.1,0.703989873293,0.854100222473,1
15.2,0.702083545635,0.852475631763,1
15.3,0.700180763379,0.850850138691,1
15.4,0.698281545693,0.849223771683,1
15.5,0.696385911476,0.847596559041,1
15.6,0.694493879359,0.845968528946,1
15.7,0.692605467703,0.844339709451,1
15.8,0.690720694608,0.842710128484,1
15.9,0.688839577909,0.841079813847,1
16,0.686962135178,0.83944879321,1
16.1,0.685088383729,0.837817094112,1
16.2,0.683218340616,0.836184743961,1
16.3,0.681352022638,0.834551770029,1
16.4,0.679489446337,0.832918199451,1
16.5,0.677630628004,0.831284059226,1
16.6,0.675775583676,0.829649376216,1
16.7,0.673924329142,0.828014177142,1
16.8,0.672076879942,0.82637848859,1
16.9,0.670233251367,0.824742337003,1
17,0.668393458466,0.823105748686,1
17.1,0.666557516043,0.821468749807,1
17.2,0.664725438661,0.819831366393,1
17.3,0.662897240641,0.818193624332,1
17.4,0.661072936066,0.816555549376,1
17.5,0.659252538784,0.814917167138,1
17.6,0.657436062405,0.813278503094,1
17.7,0.655623520306,0.811639582583,1
17.8,0.653814925632,0.810000430807,1
17.9,0.652010291296,0.808361072833,1
18,0.650209629984,0.806721533592,1
18.1,0.648412954153,0.80508183788,1
18.2,0.646620276034,0.803442010358,1
18.3,0.644831607633,0.801802075553,1
18.4,0.643046960736,0.800162057859,1
18.5,0.641266346905,0.798521981536,1
18.6,0.639489777482,0.796881870711,1
18.7,0.637717263592,0.795241749378,1
18.8,0.635948816143,0.7936016414,1
18.9,0.634184445827,0.791961570508,1
19,0.632424163124,0.790321560302,1
19.1,0.6306679783,0.788681634249,1
19.2,0.628915901411,0.787041815688,1
19.3,0.627167942304,0.785402127827,1
19.4,0.625424110618,0.783762593744,1
19.5,0.623684415787,0.782123236388,1
19.6,0.621948867038,0.780484078578,1
19.7,0.620217473396,0.778845143007,1
19.8,0.618490243686,0.777206452236,1
19.9,0.616767186529,0.775568028702,1
20,0.615048310351,0.773929894712,1
